Column1,ind,vi,en,lesson
0,0,rộn ràng,"boisterous, boisterously, bustling",47
1,1,nồng nàn,"passionate, passionately",41
2,2,hân hoan,"joyful, glad",34
3,3,chứa chan,"suffusive, effusive",24
4,4,lưỡng lự,hesitate,71
5,5,nặng nề,heavy,42
6,6,tha thứ,forgive,53
7,7,lặng lẽ,"silent, silently",38
8,8,vẻ vang,glorious,80
9,9,bụ bẫm,chubby,21
10,10,khó khăn,difficulty,35
11,11,tự tin,confident,55
12,12,đông đúc,crowded,30
13,13,lang thang,wander,50
14,14,đanh đá,shrewish,27
15,15,bóc lịch,"go to jail, jailed",63
16,16,cửa,"door, the door, doors",6
17,17,ăn cháo đá bát,ungrateful,63
18,18,cứng đầu,"opinionated, stubborn",27
19,19,qua đời,passed away,30
20,20,thức trắng đêm,stay up all night,56
21,21,nhận gạch,receive heavy criticism,73
22,22,cắt cổ,exorbitant,26
23,23,tây ba lô,Western backpacker,77
24,24,dở hơi,screwball,34
25,25,viêm màng túi,"broke, in the red",40
26,26,cơm bụi,working-class meal,65
27,27,bẩn tính,mean,55
28,28,làm ăn,"to do business, do business",20
29,29,chặt chém,overcharge,65
30,30,bó tay,"give up, gives up",49
31,31,trúng gió,be sick,32
32,32,run lập cập,"shiver, shivers, shivering",38
33,33,lơ lửng,float,39
34,34,ngẩn ngơ,astounded,43
35,35,mệt mỏi,tired,41
36,36,lo lắng,worry,38
37,37,vui vẻ,happy,58
38,38,dang dở,"fruitless, unfinished",29
39,39,gan góc,"fearless, undaunted",32
40,40,dửng dưng,unconcerned,31
41,41,vớ vẩn,"nonsensical, nonsense, absurd",58
42,42,bụi bặm,dusty,21
43,43,dụ dỗ,"lure, entice, seduce",29
44,44,chín chắn,mature,24
45,45,dõng dạc,"sedately, sedate, loud and clear",67
46,46,bưng bít,suppress,60
47,47,chen chúc,jostle,25
48,48,cằn nhằn,"grumble, grumbles",43
49,49,bừa bãi,untidy,21
50,50,bảnh bao,"chic, dapper, well-dressed",22
51,51,cộc cằn,rude,24
52,52,bực bội,displeased,23
53,53,dịu dàng,"sweet, tender, tenderly",27
54,54,dễ dàng,"easy, easily",27
55,55,che chở,"protect, defend, protects",65
56,56,gắt gỏng,"grumble, irascible, scold (someone)",33
57,57,gặp gỡ,"meet, meeting",67
58,58,béo bở,lucrative,23
59,59,chiều chuộng,"pamper, pampered, pampers",25
60,60,lạnh lùng,"cold, glacial",39
61,61,lung linh,sparkling,71
62,62,nhanh nhẹn,agile,73
63,63,chậm chạp,slowly,64
64,64,ăn năn,repent,41
65,65,chuyến,"trip, (classifier), the",65
66,66,nền,floor,9
67,67,căn,(classifier),5
68,68,hòn,(classifier),7
69,69,cuộc,the,66
70,70,huyền bí,"paranormal, mysterious",22
71,71,cúng,to make offerings,13
72,72,số phận,destiny,44
73,73,kiếp,"incarnation, life",70
74,74,lá bùa,"charm, amulet",70
75,75,tử vi,"astrology, astrology guide",20
76,76,thầy bói,"fortune-teller, diviner",23
77,77,thiên thần,angel,50
78,78,lời nguyền,curse,43
79,79,địa ngục,hell,66
80,80,mê tín,superstitious,55
81,81,thiên đường,heaven,31
82,82,phép thuật,magic,74
83,83,ma,ghost,3
84,84,ám,"haunted, possess, haunt",63
85,85,linh hồn,soul,35
86,86,không quân,air force,46
87,87,tên lửa,missile,39
88,88,hạt nhân,nuclear,43
89,89,phòng thủ,defend,53
90,90,thiết giáp,armored,32
91,91,xe,"car, cars, bikes",82
92,92,cố thủ,stand one's ground,53
93,93,tiểu đoàn,battalion,29
94,94,tàu chiến,warship,25
95,95,chống,against,18
96,96,huy động,mobilize,30
97,97,vũ trang,(to) arm,56
98,98,trận chiến,battle,25
99,99,trực thăng,helicopter,50
100,100,phục kích,ambush,75
101,101,chiến thắng,victory,50
102,102,đổ bộ,land,23
103,103,du kích,guerrilla,61
104,104,nhắm,"aim, take aim",16
105,105,súng,gun,17
106,106,đạn,bullet,6
107,107,lực lượng,force,40
108,108,quân phục,"military uniform, uniform",46
109,109,vũ khí,weapon,36
110,110,tù binh,prisoner,23
111,111,chiến thuật,strategy,65
112,112,tuyên chiến,declare war,25
113,113,quân sự,military,48
114,114,lính,soldier,14
115,115,căn cứ,base,26
116,116,chỉ huy,"captain, commander, command",65
117,117,doanh trại,barrack,56
118,118,tấn công,attack,26
119,119,hình phạt,punishment,45
120,120,trình độ,level,29
121,121,bản án,"verdict, sentence",20
122,122,lương tâm,conscience,49
123,123,đạo đức,morality,30
124,124,đề tài,"subject, theme",49
125,125,nguồn gốc,source,32
126,126,trời,"it, the weather, it's",17
127,127,sức mạnh,strength,40
128,128,câu chuyện,story,25
129,129,hệ quả,"consequence, consequences",46
130,130,kỹ năng,skill,41
131,131,lý do,reason,29
132,132,quá khứ,past,75
133,133,nền tảng,foundation,49
134,134,tầm nhìn,vision,76
135,135,yếu tố,"element, factor",82
136,136,ứng dụng,application,31
137,137,người tị nạn,refugee,72
138,138,bắt giam,"imprisons, imprison, imprisoned",32
139,139,đảng,party,13
140,140,cộng hoà,"republic, republican",34
141,141,đe doạ,threaten,66
142,142,tuyên truyền,"propagandize, propagandizing",80
143,143,chống lại,"against, to be against",38
144,144,nổi dậy,"revolt, rebel, revolting",28
145,145,dân chủ,"democratic, democracy",25
146,146,thống nhất,"unified, unify",78
147,147,thuộc địa,"colonies, colony, colonial",28
148,148,bất bình đẳng,inequality,23
149,149,giai cấp,class,24
150,150,công lý,justice,40
151,151,bóc lột,"exploitation, exploited, exploit",63
152,152,xâm lược,invade,40
153,153,di tản,evacuate,66
154,154,cách mạng,revolution,40
155,155,chiến đấu,fight,27
156,156,dân thường,"civilian, civilians",54
157,157,chết,"die, dead, dying",65
158,158,chủ nghĩa,ideology,42
159,159,tư bản,capitalist,21
160,160,tàn phá,devastate,44
161,161,nội chiến,civil war,25
162,162,người chiến thắng,winner,25
163,163,biểu tình,protest,55
164,164,đập vỡ,"smashes, break, smash",59
165,165,duy trì,maintain,56
166,166,đánh giá thấp,underestimate,31
167,167,trang bị,equip,22
168,168,sử dụng,"using, use, uses",31
169,169,hình thành,form,50
170,170,buộc,force,60
171,171,đầu hàng,surrender,66
172,172,ràng buộc,constrain,75
173,173,dự đoán,predict,29
174,174,mất,lose,8
175,175,núp,hide,74
176,176,phát huy,uphold,74
177,177,biến mất,disappear,40
178,178,chạy trốn,"run away, flee",65
179,179,điều tra,investigate,61
180,180,tuyên bố,declare,23
181,181,nhấc,lift,15
182,182,bao gồm,include,33
183,183,lên,"ups, make, up",70
184,184,sụp đổ,collapse,29
185,185,cầu nguyện,pray,43
186,186,hoãn,postpone,68
187,187,trồng,"grow, planting, growing",20
188,188,giết,"kill, killing, kills",67
189,189,quên,forget,16
190,190,chấp nhận,accept,43
191,191,rửa,wash,10
192,192,nhớ,remember,9
193,193,quản lý,manage,40
194,194,cải thiện,improve,52
195,195,di trú,immigrate,57
196,196,giải quyết,solve,47
197,197,thuộc về,belong,58
198,198,nhắc đến,mention,28
199,199,thờ,worship,11
200,200,tổ tiên,"ancestry, ancestor, ancestors",79
201,201,lễ hội,festival,34
202,202,đạo phật,Buddhism,45
203,203,đạo khổng,Confucianism,36
204,204,vịnh bắc bộ,gulf of Tonkin,81
205,205,trống đồng,bronze drum,30
206,206,truyện kiều,tale of Kieu,37
207,207,phong kiến,feudal,37
208,208,múa rối nước,water puppetry,72
209,209,thần thoại,mythology,52
210,210,nền văn minh,"civilization, civilizations",58
211,211,trầu,betel,17
212,212,truyền thuyết,"legend, legends",80
213,213,triều đại,dynasty,27
214,214,di sản,heritage,47
215,215,tết,Tet,77
216,216,lì xì,lucky money,19
217,217,áo dài,ao dai,27
218,218,huế,Hue,68
219,219,hà nội,Hanoi,44
220,220,phong tục,custom,57
221,221,nón lá,conical hat,37
222,222,sài gòn,Saigon,33
223,223,vững chắc,solid,81
224,224,rõ ràng,clear,47
225,225,vinh quang,glorious,46
226,226,lạ,strange,2
227,227,nghiêm trọng,serious,72
228,228,say,drunk,10
229,229,vô nghĩa,meaningless,42
230,230,dễ thương,cute,54
231,231,tự hào,proud,33
232,232,thật là,"really, what",37
233,233,ngu ngốc,stupid,72
234,234,tuyệt vời,wonderful,59
235,235,đáng nể,admirable,42
236,236,tuyệt đối,absolute,30
237,237,ghen tị,jealous,62
238,238,cô đơn,"lonely, alone, lonesome",30
239,239,mồ côi,orphan,71
240,240,xinh,pretty,82
241,241,giận dữ,angry,31
242,242,xa,far,82
243,243,rộng,"wide, large, (is) big",16
244,244,chính,"main, major",18
245,245,ổn định,stable,29
246,246,tối thiểu,minimum,52
247,247,chính thức,official,54
248,248,tối đa,maximum,27
249,249,nổi bật,"outstanding, remarkable",22
250,250,ngoan,obedient,19
251,251,bất thường,unusual,54
252,252,sao hải vương,Neptune,33
253,253,kính viễn vọng,telescope,59
254,254,tàu vũ trụ,spaceship,59
255,255,sao diêm vương,Pluto,28
256,256,thiên thạch,meteorite,50
257,257,sao thiên vương,Uranus,52
258,258,năm ánh sáng,light-year,21
259,259,sao thổ,Saturn,52
260,260,vệ tinh,satellite,55
261,261,sao mộc,Jupiter,41
262,262,sao hoả,Mars,34
263,263,sao thuỷ,Mercury,76
264,264,sao kim,Venus,76
265,265,hệ mặt trời,Solar System,40
266,266,thiên văn học,astronomy,58
267,267,thiên hà,galaxy,77
268,268,vũ trụ,universe,57
269,269,tập đoàn,corporation,29
270,270,quỹ,fund,75
271,271,phá sản,bankrupt,47
272,272,giám đốc,director,62
273,273,trốn thuế,evade tax,79
274,274,séc,"check, cheque",76
275,275,giá,"is, the price, price",62
276,276,cuộc họp,meeting,35
277,277,cuộc phỏng vấn,interview,45
278,278,tỷ giá,exchange rate,31
279,279,tổ chức,organization,25
280,280,đa quốc gia,"multi-national, multinational",61
281,281,quảng cáo,"advertisements, advertisement, ad",75
282,282,lợi nhuận,profit,70
